id,title,start_date,end_date,trip_status,total_budget,user_id,number_of_travelers,created_at,updated_at,last_modified_by
1,Trip to Paris,2025-06-10,2025-06-20,Planned,3000.50,101,2,2025-05-01 10:30:00,2025-05-01 10:30:00,201
2,Safari Adventure,2025-07-05,2025-07-15,Completed,4500.00,102,4,2025-06-01 09:15:00,2025-06-12 14:40:00,202
3,Tokyo Business Trip,2025-08-01,2025-08-07,Planned,2000.00,103,1,2025-06-20 12:00:00,2025-06-22 16:00:00,203
4,Family Road Trip,2025-07-01,2025-07-10,Ongoing,1200.75,104,5,2025-05-22 11:11:00,2025-06-10 08:00:00,204
5,Beach Getaway,2025-07-15,2025-07-20,Cancelled,800.00,105,2,2025-06-01 08:00:00,2025-06-15 13:00:00,205
6,Hiking in Alps,2025-07-10,2025-07-18,Completed,1700.25,106,3,2025-06-05 15:20:00,2025-06-25 17:30:00,206
7,Cultural Tour of Italy,2025-07-22,2025-08-01,Planned,3100.00,107,2,2025-06-10 10:00:00,2025-06-10 10:00:00,207
8,Business Conference NYC,2025-09-10,2025-09-13,Planned,2500.00,108,1,2025-07-01 12:30:00,2025-07-01 12:30:00,208
9,Bali Retreat,2025-06-01,2025-06-10,Completed,2900.00,109,2,2025-05-01 09:00:00,2025-05-20 10:00:00,209
10,Mountain Escape,2025-08-15,2025-08-22,Ongoing,1850.00,110,3,2025-07-01 11:00:00,2025-07-15 12:00:00,210
11,Trip to Accra,2025-05-10,2025-05-15,Completed,500.00,111,1,2025-04-01 08:00:00,2025-05-01 08:00:00,211
12,Amazon Cruise,2025-09-01,2025-09-10,Planned,5200.00,112,4,2025-07-15 14:00:00,2025-07-15 14:00:00,212
13,Desert Safari Dubai,2025-10-01,2025-10-07,Planned,2700.00,113,2,2025-08-01 13:30:00,2025-08-01 13:30:00,213
14,Iceland Expedition,2025-11-15,2025-11-25,Ongoing,4100.00,114,3,2025-09-10 12:00:00,2025-10-01 11:00:00,214
15,Visit Relatives,2025-06-05,2025-06-15,Completed,650.00,115,2,2025-05-01 07:00:00,2025-06-01 07:00:00,215
16,Ski Trip to Canada,2025-12-01,2025-12-10,Planned,3200.00,116,4,2025-10-01 10:30:00,2025-10-10 09:00:00,216
17,Business + Leisure London,2025-07-25,2025-07-31,Planned,2800.00,117,1,2025-06-20 11:45:00,2025-06-22 11:45:00,217
18,Explore South Africa,2025-09-05,2025-09-15,Ongoing,3500.00,118,3,2025-07-25 10:00:00,2025-08-01 10:00:00,218
19,Rome Food Tour,2025-10-10,2025-10-18,Planned,1950.00,119,2,2025-08-15 15:00:00,2025-08-16 15:00:00,219
20,Study Abroad Berlin,2025-08-01,2025-12-15,Planned,10000.00,120,1,2025-05-01 10:00:00,2025-05-01 10:00:00,220
