id,itinerary_id,scheduled_time,activity_id,destination_id,notes,reminder_time,display_order
1,1,2025-07-20 09:00:00,1,1,"Visit the Eiffel Tower",2025-07-20 08:30:00,1
2,1,2025-07-20 13:00:00,2,1,"Lunch at Le Jules Verne",2025-07-20 12:30:00,2
3,2,2025-07-21 10:00:00,3,2,"Tour Louvre Museum",2025-07-21 09:30:00,1
4,2,2025-07-21 15:00:00,4,2,"Walk along the Seine",2025-07-21 14:30:00,2
5,3,2025-07-22 11:00:00,5,3,"Visit Colosseum",2025-07-22 10:30:00,1
6,3,2025-07-22 14:00:00,6,3,"Lunch in Trastevere",2025-07-22 13:30:00,2
7,4,2025-07-23 09:00:00,7,4,"Explore Vatican Museum",2025-07-23 08:30:00,1
8,4,2025-07-23 12:30:00,8,4,"St. Peter's Basilica",2025-07-23 12:00:00,2
9,5,2025-07-24 10:00:00,9,5,"Tour Sagrada Familia",2025-07-24 09:30:00,1
10,5,2025-07-24 14:00:00,10,5,"Tapas Tasting",2025-07-24 13:30:00,2
11,6,2025-07-25 11:00:00,11,6,"Explore Gothic Quarter",2025-07-25 10:30:00,1
12,6,2025-07-25 16:00:00,12,6,"Beach Time",2025-07-25 15:30:00,2
13,7,2025-07-26 09:00:00,13,7,"Morning Hike",2025-07-26 08:30:00,1
14,7,2025-07-26 13:00:00,14,7,"River Rafting",2025-07-26 12:30:00,2
15,8,2025-07-27 10:00:00,15,8,"Wine Tasting Tour",2025-07-27 09:30:00,1
16,8,2025-07-27 15:00:00,16,8,"Dinner by the Vineyard",2025-07-27 14:30:00,2
17,9,2025-07-28 10:30:00,17,9,"Snorkeling Adventure",2025-07-28 10:00:00,1
18,9,2025-07-28 14:00:00,18,9,"Island Picnic",2025-07-28 13:30:00,2
19,10,2025-07-29 09:30:00,19,10,"City Bike Tour",2025-07-29 09:00:00,1
20,10,2025-07-29 12:30:00,20,10,"Local Market Visit",2025-07-29 12:00:00,2
